코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A010690,화신,자동차 및 관련부품,차체부품,9210,3216,7.46,1.02,0.76
A010950,S-OIL,석유 및 가스,정유,113000,127219,6.68,1.62,3.36
A074600,원익QNC,반도체 관련장비 및 부품,반도체 부품,33950,8925,14.58,2.74,0.44
A025900,동화기업,건설 및 건축자재,목재,84500,17070,38.8,2.64,0.0
A093370,후성,반도체 관련장비 및 부품,반도체 부품,23700,21948,35.8,7.76,0.06
A011790,SKC,화학,합성수지,142500,53962,21.98,2.61,0.77
A006110,삼아알미늄,철강 및 비철강,알루미늄,24400,2684,20.49,2.14,0.82
A002900,TYM,기계,농업용기계,3440,5241,10.26,1.86,0.58
A071090,하이스틸,철강 및 비철강,강관,5950,1190,7.73,0.83,0.67
A050860,아세아텍,기계,농업용기계,3710,835,8.98,0.77,1.35
A011560,세보엠이씨,건설 및 건축자재,중견건설사,8300,874,5.46,0.52,3.01
A071280,로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,6040,924,7.0,1.04,0.33
A215000,골프존,레저산업,레저,169100,10612,11.34,3.25,2.07
A137310,에스디바이오센서,의료기기 및 용품,의료용품,47500,49054,4.45,1.84,2.67
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A014830,유니드,화학,기타 화학,125000,11112,5.78,1.07,1.36
A005420,코스모화학,IT 장비 및 소재,2차전지,17100,5345,46.89,3.39,0.0
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A192650,드림텍,IT 장비 및 소재,스마트폰 부품,10750,7227,8.77,1.93,2.79
A190510,나무가,IT 장비 및 소재,카메라모듈,11750,1644,9.5,2.4,0.0
A042110,에스씨디,가정용품,가전제품,2555,1235,14.7,1.07,1.17
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A074430,아미노로직스,제약 및 바이오,원료의약품,2670,2345,30.45,3.74,0.0
A060540,에스에이티,통신,통신장비,2920,763,7.48,0.79,1.71
A340440,세림B&G,종이 및 용기,용기 및 포장재,2955,809,134.83,3.02,0.0
A002900,TYM,기계,농업용기계,3440,5241,10.26,1.86,0.58
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
A382480,지아이텍,IT 장비 및 소재,2차전지,3640,1433,179.13,2.69,0.6
A129260,인터지스,운송 및 물류,운송인프라,3665,1090,5.77,0.51,2.73
A050860,아세아텍,기계,농업용기계,3710,835,8.98,0.77,1.35
A031330,에스에이엠티,유통,유통,4535,4535,6.67,1.37,4.41
A281740,레이크머티리얼즈,화학,종합 화학,4980,3273,15.51,5.07,0.0
A014580,태경비케이,철강 및 비철강,광물,5190,1432,12.45,0.91,2.12
A008260,NI스틸,철강 및 비철강,제강,5670,1622,5.63,1.06,1.32
A080220,제주반도체,반도체 관련장비 및 부품,반도체 설계,5740,1977,6.57,1.52,0.0
A081150,티플랙스,철강 및 비철강,스테인리스,5810,1410,9.34,0.93,0.52
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A071280,로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,6040,924,7.0,1.04,0.33
A103590,일진전기,전기 및 전자기기,케이블,6280,2329,12.66,0.7,1.59
A053050,지에스이,유틸리티,도시가스,6670,2000,40.0,2.29,0.6
A282690,동아타이어,자동차 및 관련부품,타이어,12850,1765,9.54,0.47,7.78
A040420,정상제이엘에스,일반서비스,교육,7730,1212,8.6,1.6,6.86
A000810,삼성화재,금융,손해보험,200000,94750,8.36,0.6,6.0
A001120,LX인터내셔널,일반서비스,무역,38850,15058,3.4,0.78,5.92
A001450,현대해상,금융,손해보험,30950,27669,6.02,0.54,4.78
