코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A058450,일야,IT 장비 및 소재,스마트폰 부품,818,273,18.2,1.57,0.0
A096350,대창솔루션,조선,조선기자재,505,827,-6.17,2.62,0.0
A085810,알티캐스트,IT서비스,소프트웨어,2380,707,-7.68,1.16,0.0
A014910,성문전자,IT 장비 및 소재,콘덴서,2475,482,16.07,1.55,0.2
A038060,루멘스,전기 및 전자기기,LED,1460,702,-6.0,0.76,0.0
A083660,CSA 코스믹,건설 및 건축자재,건축자재,2155,850,77.27,6.32,0.0
A076080,웰크론한텍,기계,플랜트설비,3970,826,-25.03,1.28,0.0
A026040,제이에스티나,섬유 및 의류,의류,3700,611,3.25,1.23,2.7
A024740,한일단조,자동차 및 관련부품,동력전달장치,3065,916,-11.45,0.92,0.0
A254120,자비스,기계,기계,2275,505,-12.32,5.32,0.0
A115610,이미지스,IT 장비 및 소재,스마트폰 부품,2680,411,27.4,4.37,0.0
A093640,다믈멀티미디어,반도체 관련장비 및 부품,반도체 설계,4140,755,41.94,1.58,0.0
A099440,스맥,기계,공작기계,2050,655,-5.33,1.05,0.0
A192390,윈하이텍,건설 및 건축자재,거푸집,4320,460,51.11,0.79,0.0
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A005030,부산주공,자동차 및 관련부품,기타 자동차부품,843,556,-5.3,2.49,0.0
A076610,해성옵틱스,IT 장비 및 소재,카메라모듈,1015,1185,-3.08,2.58,0.0
A072950,빛샘전자,통신,통신장비,8140,507,11.02,0.76,1.23
A085910,네오티스,기계,기계,5740,794,11.03,1.39,4.36
A069140,누리플랜,일반서비스,환경서비스,7100,504,36.0,1.44,0.0
