코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A012030,DB,IT서비스,시스템서비스,961,1933,8.95,0.43,0.0
A011370,서한,건설 및 건축자재,중견건설사,1610,1624,2.94,0.44,2.48
A027970,세하,종이 및 용기,용기 및 포장재,1650,950,10.56,0.95,0.0
A002450,삼익악기,레저산업,레저,1675,1516,4.55,0.55,2.99
A052900,KMH하이텍,반도체 관련장비 및 부품,반도체 부품,1710,883,9.7,0.84,0.0
A035890,서희건설,건설 및 건축자재,중견건설사,1745,4010,3.04,0.59,2.87
A012800,대창,철강 및 비철강,구리,1950,1777,8.97,0.72,1.54
A009270,신원,섬유 및 의류,의류,2070,1978,13.19,0.88,2.42
A002780,진흥기업,건설 및 건축자재,중견건설사,2175,3164,5.79,1.74,0.0
A058850,KTCS,IT서비스,컨택센터,2325,992,6.2,0.55,4.3
A073560,우리손에프앤지,식음료,사료,2440,1689,7.28,0.72,2.05
A024910,경창산업,자동차 및 관련부품,변속기부품,2585,926,28.94,1.01,0.0
A058860,KTIS,통신,통신서비스,2665,927,3.46,0.47,3.75
A016090,대현,섬유 및 의류,의류,2685,1189,5.69,0.52,3.35
A007280,한국특강,철강 및 비철강,제강,2900,1747,4.15,1.19,0.0
A208140,정다운,식음료,식료품,2910,951,8.06,1.13,3.44
A005390,신성통상,섬유 및 의류,의류,2985,4290,7.45,1.37,0.0
A133820,화인베스틸,조선,조선기자재,3025,901,9.9,1.11,0.0
A010100,한국프랜지,자동차 및 관련부품,엔진부품,3050,929,5.6,0.35,2.95
A024800,유성티엔에스,철강 및 비철강,강판,3200,1001,3.78,0.33,0.0
