코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A179900,유티아이,IT 장비 및 소재,카메라모듈,18100,2933,56.4,4.55,0.28
A071090,하이스틸,철강 및 비철강,강관,5950,1190,7.73,0.83,0.67
A004360,세방,운송 및 물류,육상운송,12700,2452,3.75,0.27,1.57
A011560,세보엠이씨,건설 및 건축자재,중견건설사,8300,874,5.46,0.52,3.01
A009180,한솔로지스틱스,운송 및 물류,육상운송,4100,1127,4.03,1.3,1.46
A071280,로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,6040,924,7.0,1.04,0.33
A155660,DSR,철강 및 비철강,스테인리스,7030,1125,7.12,0.61,0.71
A081150,티플랙스,철강 및 비철강,스테인리스,5810,1410,9.34,0.93,0.52
A084650,랩지노믹스,제약 및 바이오,바이오,7390,2512,2.31,1.28,1.35
A217600,켐온,제약 및 바이오,바이오,2765,1766,36.04,2.91,0.0
A050860,아세아텍,기계,농업용기계,3710,835,8.98,0.77,1.35
A143160,아이디스,전기 및 전자기기,보안장비,27300,2926,10.96,1.51,1.1
A006620,동구바이오제약,제약 및 바이오,제약,7300,2078,18.23,2.03,1.37
A009300,삼아제약,제약 및 바이오,제약,18200,1159,16.56,0.66,1.37
A065510,휴비츠,의료기기 및 용품,의료기기,11150,1325,10.52,1.42,1.79
A025550,한국선재,철강 및 비철강,선재(와이어),5700,1363,6.78,1.22,0.0
A002760,보락,식음료,식료품,1975,1183,59.15,2.58,0.25
A357550,석경에이티,화학,종합 화학,16450,897,24.24,3.6,0.0
A102120,어보브반도체,반도체 관련장비 및 부품,반도체 설계,13950,2436,14.0,2.06,1.72
A317400,자이에스앤디,건설 및 건축자재,대형건설사,8720,3382,8.25,1.07,2.29
