코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A011300,성안,섬유 및 의류,섬유,553,314,1.29,0.97,0.0
A049470,SGA,IT서비스,보안서비스,988,522,8.7,1.08,0.0
A018500,동원금속,자동차 및 관련부품,차체부품,1000,468,9.99,0.99,0.0
A113810,디젠스,자동차 및 관련부품,기타 자동차부품,1045,341,6.31,1.81,0.0
A008600,윌비스,섬유 및 의류,의류,1220,820,-11.23,0.72,0.0
A054940,엑사이엔씨,반도체 관련장비 및 부품,클린룸,1375,456,15.72,0.81,0.0
A053060,세동,자동차 및 관련부품,기타 자동차부품,1520,265,3.4,1.08,0.0
A153490,우리이앤엘,디스플레이 장비 및 부품,디스플레이 부품,1605,826,4.61,1.11,0.0
A032580,피델릭스,반도체 관련장비 및 부품,반도체 제조,1750,580,9.51,1.34,0.0
A225590,패션플랫폼,섬유 및 의류,의류,1960,522,3.63,0.91,0.0
A084870,TBH글로벌,섬유 및 의류,의류,1995,416,-2.83,0.74,0.0
A215790,이노인스트루먼트,통신,통신장비,1995,804,9.14,0.86,0.0
A010420,한솔PNS,종이 및 용기,종이,2025,415,11.86,0.87,1.23
A126640,화신정공,자동차 및 관련부품,차체부품,2040,742,22.48,0.75,1.47
A037760,쎄니트,미디어 및 엔터,영화,2310,782,9.65,0.92,1.73
A024840,KBI메탈,전기 및 전자기기,케이블,2310,761,29.27,0.76,0.0
A044780,에이치케이,기계,기계,2340,433,9.84,0.77,1.71
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A079950,인베니아,디스플레이 장비 및 부품,디스플레이 장비,2610,606,4.33,1.07,0.0
A069330,유아이디,디스플레이 장비 및 부품,디스플레이 부품,2685,381,6.46,2.02,0.0
