코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A208370,셀바스헬스케어,의료기기 및 용품,의료기기,3170,687,14.02,2.39,0.0
A153460,네이블,IT서비스,보안서비스,7480,488,15.74,1.85,0.0
A225590,패션플랫폼,섬유 및 의류,의류,1960,522,3.63,0.91,0.0
A014910,성문전자,IT 장비 및 소재,콘덴서,2475,482,16.07,1.55,0.2
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A026040,제이에스티나,섬유 및 의류,의류,3700,611,3.25,1.23,2.7
A138070,신진에스엠,기계,기계,6270,563,9.38,0.76,1.91
A000850,화천기공,기계,공작기계,34800,766,6.23,0.25,2.87
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
A008110,대동전자,IT 장비 및 소재,IT 소재 및 부품,7500,787,7.96,0.48,0.0
A012620,원일특강,철강 및 비철강,제강,12850,565,3.04,0.4,1.95
A088790,진도,섬유 및 의류,의류,3495,435,9.46,0.42,1.14
A059210,메타바이오메드,의료기기 및 용품,의료용품,2765,660,7.33,1.11,0.72
A187270,신화콘텍,IT 장비 및 소재,IT 소재 및 부품,6000,609,16.92,1.17,0.0
A011420,갤럭시아에스엠,미디어 및 엔터,매니지먼트,2135,588,11.76,1.71,0.0
A032580,피델릭스,반도체 관련장비 및 부품,반도체 제조,1750,580,9.51,1.34,0.0
A049830,승일,종이 및 용기,용기 및 포장재,12550,770,20.26,0.53,1.35
A067730,로지시스,IT서비스,금융시스템,6120,592,29.6,3.13,2.45
A045510,정원엔시스,IT서비스,시스템서비스,1810,583,17.67,1.36,0.0
A059100,아이컴포넌트,디스플레이 장비 및 부품,디스플레이 부품,7270,514,19.77,1.57,0.0
