코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A002070,비비안,섬유 및 의류,의류,2380,709,-16.88,0.7,0.0
A084870,TBH글로벌,섬유 및 의류,의류,1995,416,-2.83,0.74,0.0
A038950,파인디지털,자동차 및 관련부품,전장부품,6470,661,110.17,0.73,0.77
A014100,메디앙스,유아동산업,유아동산업,5500,649,-9.01,0.73,0.0
A204020,그리티,섬유 및 의류,의류,2980,600,-13.33,0.9,0.0
A088790,진도,섬유 및 의류,의류,3495,435,9.46,0.42,1.14
A225590,패션플랫폼,섬유 및 의류,의류,1960,522,3.63,0.91,0.0
A190650,코리아에셋투자증권,금융,증권,10650,680,3.55,0.84,0.0
A075130,플랜티넷,IT서비스,인터넷서비스,3630,603,13.11,0.86,2.98
A308100,까스텔바작,섬유 및 의류,의류,9070,598,-6.57,0.88,0.0
A031310,아이즈비전,통신,통신장비,3800,625,5.95,0.5,0.0
A069640,한세엠케이,섬유 및 의류,의류,3920,506,-1.53,1.15,0.0
A010470,오리콤,미디어 및 엔터,광고,6820,817,11.67,0.82,3.23
A045060,오공,화학,기타 화학,4175,707,8.32,0.73,1.2
A091340,S&K폴리텍,IT 장비 및 소재,스마트폰 부품,5090,596,23.84,0.64,4.91
A085810,알티캐스트,IT서비스,소프트웨어,2380,707,-7.68,1.16,0.0
A289010,아이스크림에듀,일반서비스,교육,5760,741,-26.46,1.15,0.0
A123700,SJM,자동차 및 관련부품,기타 자동차부품,4220,659,21.97,0.37,3.55
A093240,형지엘리트,섬유 및 의류,의류,2065,643,643.0,1.03,0.0
A198080,엔피디,IT 장비 및 소재,스마트폰 부품,3085,664,39.06,0.72,0.0
