코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A010690,화신,자동차 및 관련부품,차체부품,9210,3216,7.46,1.02,0.76
A010950,S-OIL,석유 및 가스,정유,113000,127219,6.68,1.62,3.36
A074600,원익QNC,반도체 관련장비 및 부품,반도체 부품,33950,8925,14.58,2.74,0.44
A025900,동화기업,건설 및 건축자재,목재,84500,17070,38.8,2.64,0.0
A093370,후성,반도체 관련장비 및 부품,반도체 부품,23700,21948,35.8,7.76,0.06
A011790,SKC,화학,합성수지,142500,53962,21.98,2.61,0.77
A006110,삼아알미늄,철강 및 비철강,알루미늄,24400,2684,20.49,2.14,0.82
A002900,TYM,기계,농업용기계,3440,5241,10.26,1.86,0.58
A071090,하이스틸,철강 및 비철강,강관,5950,1190,7.73,0.83,0.67
A050860,아세아텍,기계,농업용기계,3710,835,8.98,0.77,1.35
A011560,세보엠이씨,건설 및 건축자재,중견건설사,8300,874,5.46,0.52,3.01
A071280,로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,6040,924,7.0,1.04,0.33
A215000,골프존,레저산업,레저,169100,10612,11.34,3.25,2.07
A137310,에스디바이오센서,의료기기 및 용품,의료용품,47500,49054,4.45,1.84,2.67
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A014830,유니드,화학,기타 화학,125000,11112,5.78,1.07,1.36
A005420,코스모화학,IT 장비 및 소재,2차전지,17100,5345,46.89,3.39,0.0
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A192650,드림텍,IT 장비 및 소재,스마트폰 부품,10750,7227,8.77,1.93,2.79
A190510,나무가,IT 장비 및 소재,카메라모듈,11750,1644,9.5,2.4,0.0
