코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A282690,동아타이어,자동차 및 관련부품,타이어,12850,1765,9.54,0.47,7.78
A040420,정상제이엘에스,일반서비스,교육,7730,1212,8.6,1.6,6.86
A000810,삼성화재,금융,손해보험,200000,94750,8.36,0.6,6.0
A001120,LX인터내셔널,일반서비스,무역,38850,15058,3.4,0.78,5.92
A001450,현대해상,금융,손해보험,30950,27669,6.02,0.54,4.78
A007590,동방아그로,화학,비료 및 농약,7690,1047,11.63,0.66,4.55
A034590,인천도시가스,유틸리티,도시가스,27850,1218,19.33,0.62,4.49
A094280,효성ITX,IT서비스,컨택센터,16850,1948,12.1,1.8,4.45
A031330,에스에이엠티,유통,유통,4535,4535,6.67,1.37,4.41
A213500,한솔제지,종이 및 용기,종이,13850,3296,17.53,0.48,4.33
A108320,LX세미콘,디스플레이 장비 및 부품,디스플레이 부품,125000,20330,5.93,2.27,4.32
A069260,TKG휴켐스,화학,기타 화학,24400,9974,12.53,1.37,4.1
A134380,미원화학,화학,계면활성제,69700,1533,12.36,1.24,3.59
A002840,미원상사,화학,계면활성제,172500,8573,14.51,2.75,3.48
A208140,정다운,식음료,식료품,2910,951,8.06,1.13,3.44
A267290,경동도시가스,유틸리티,도시가스,26000,1533,6.47,0.39,3.37
A024090,디씨엠,철강 및 비철강,강판,26800,3055,5.14,1.21,3.36
A010950,S-OIL,석유 및 가스,정유,113000,127219,6.68,1.62,3.36
A037460,삼지전자,통신,통신장비,12100,1975,5.68,0.71,3.31
A067990,도이치모터스,자동차 및 관련부품,완성차,10650,3290,8.16,1.01,3.29
