코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A012620,원일특강,철강 및 비철강,제강,12850,565,3.04,0.4,1.95
A054930,유신,건설 및 건축자재,중견건설사,21950,659,4.51,0.67,3.42
A190650,코리아에셋투자증권,금융,증권,10650,680,3.55,0.84,0.0
A054040,한국컴퓨터,디스플레이 장비 및 부품,디스플레이 부품,4555,732,4.95,0.62,3.95
A037400,우리엔터프라이즈,전기 및 전자기기,LED,3075,806,4.03,0.78,0.0
A094970,제이엠티,디스플레이 장비 및 부품,디스플레이 부품,4125,691,3.95,0.86,3.64
A088790,진도,섬유 및 의류,의류,3495,435,9.46,0.42,1.14
A153490,우리이앤엘,디스플레이 장비 및 부품,디스플레이 부품,1605,826,4.61,1.11,0.0
A212560,네오오토,자동차 및 관련부품,변속기부품,8060,635,9.07,0.7,0.87
A030720,동원수산,식음료,식료품,11400,531,6.03,0.91,0.0
A010470,오리콤,미디어 및 엔터,광고,6820,817,11.67,0.82,3.23
A045060,오공,화학,기타 화학,4175,707,8.32,0.73,1.2
A053060,세동,자동차 및 관련부품,기타 자동차부품,1520,265,3.4,1.08,0.0
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
A113810,디젠스,자동차 및 관련부품,기타 자동차부품,1045,341,6.31,1.81,0.0
A080010,이상네트웍스,유통,전자상거래,7100,710,9.73,0.66,1.27
A045300,성우테크론,반도체 관련장비 및 부품,반도체장비,5730,560,8.48,0.88,0.86
A093380,풍강,자동차 및 관련부품,기타 자동차부품,4590,453,11.33,0.69,2.18
A060540,에스에이티,통신,통신장비,2920,763,7.48,0.79,1.71
A032580,피델릭스,반도체 관련장비 및 부품,반도체 제조,1750,580,9.51,1.34,0.0
