코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A332370,아이디피,전기 및 전자기기,전자기기,8670,575,10.65,1.33,1.73
A376180,피코그램,가정용품,가전제품,17250,540,25.71,1.9,0.0
A060540,에스에이티,통신,통신장비,2920,763,7.48,0.79,1.71
A025560,미래산업,반도체 관련장비 및 부품,반도체장비,13000,579,7.33,0.67,0.0
A372800,아이티아이즈,IT서비스,시스템서비스,12300,711,29.63,2.26,0.0
A067770,세진티에스,디스플레이 장비 및 부품,디스플레이 부품,4280,359,12.38,0.78,0.0
A340440,세림B&G,종이 및 용기,용기 및 포장재,2955,809,134.83,3.02,0.0
A130500,GH신소재,자동차 및 관련부품,기타 자동차부품,4935,718,20.51,1.05,0.0
A064480,브리지텍,IT서비스,컨택센터,5020,600,17.14,1.47,2.39
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A043360,디지아이,전기 및 전자기기,전기장비,3825,344,114.67,0.74,0.0
A073010,케이에스피,조선,조선기자재,2005,726,30.25,2.69,0.0
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
