코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A225220,제놀루션,의료기기 및 용품,의료용품,13100,1253,3.56,1.33,3.05
A214150,클래시스,의료기기 및 용품,의료기기,17450,11304,24.0,6.4,0.38
A099430,바이오플러스,제약 및 바이오,바이오,24950,3613,31.97,4.34,0.0
A137310,에스디바이오센서,의료기기 및 용품,의료용품,47500,49054,4.45,1.84,2.67
A205470,휴마시스,의료기기 및 용품,의료기기,15650,5356,1.78,1.48,1.28
A259960,크래프톤,미디어 및 엔터,게임,240000,117773,20.62,2.43,0.0
A058470,리노공업,반도체 관련장비 및 부품,반도체장비,171400,26125,23.64,5.82,1.46
A000990,DB하이텍,반도체 관련장비 및 부품,반도체 제조,72400,32145,7.51,2.54,0.62
A084650,랩지노믹스,제약 및 바이오,바이오,7390,2512,2.31,1.28,1.35
A357550,석경에이티,화학,종합 화학,16450,897,24.24,3.6,0.0
A064760,티씨케이,반도체 관련장비 및 부품,반도체 부품,139500,16287,19.0,4.5,1.03
A041830,인바디,의료기기 및 용품,의료기기,27050,3701,10.89,1.91,0.74
A053610,프로텍,반도체 관련장비 및 부품,반도체장비,29950,3295,6.97,1.26,1.34
A215000,골프존,레저산업,레저,169100,10612,11.34,3.25,2.07
A095340,ISC,반도체 관련장비 및 부품,반도체 부품,37050,6447,16.75,2.72,0.54
A093320,케이아이엔엑스,IT서비스,인터넷서비스,54000,2635,15.23,2.02,0.93
A332370,아이디피,전기 및 전자기기,전자기기,8670,575,10.65,1.33,1.73
A101160,월덱스,반도체 관련장비 및 부품,반도체 부품,24800,4095,12.19,2.69,0.24
A074430,아미노로직스,제약 및 바이오,원료의약품,2670,2345,30.45,3.74,0.0
A093370,후성,반도체 관련장비 및 부품,반도체 부품,23700,21948,35.8,7.76,0.06
