코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A042110,에스씨디,가정용품,가전제품,2555,1235,14.7,1.07,1.17
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A074430,아미노로직스,제약 및 바이오,원료의약품,2670,2345,30.45,3.74,0.0
A060540,에스에이티,통신,통신장비,2920,763,7.48,0.79,1.71
A340440,세림B&G,종이 및 용기,용기 및 포장재,2955,809,134.83,3.02,0.0
A002900,TYM,기계,농업용기계,3440,5241,10.26,1.86,0.58
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
A382480,지아이텍,IT 장비 및 소재,2차전지,3640,1433,179.13,2.69,0.6
A129260,인터지스,운송 및 물류,운송인프라,3665,1090,5.77,0.51,2.73
A050860,아세아텍,기계,농업용기계,3710,835,8.98,0.77,1.35
A031330,에스에이엠티,유통,유통,4535,4535,6.67,1.37,4.41
A281740,레이크머티리얼즈,화학,종합 화학,4980,3273,15.51,5.07,0.0
A014580,태경비케이,철강 및 비철강,광물,5190,1432,12.45,0.91,2.12
A008260,NI스틸,철강 및 비철강,제강,5670,1622,5.63,1.06,1.32
A080220,제주반도체,반도체 관련장비 및 부품,반도체 설계,5740,1977,6.57,1.52,0.0
A081150,티플랙스,철강 및 비철강,스테인리스,5810,1410,9.34,0.93,0.52
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A071280,로체시스템즈,디스플레이 장비 및 부품,디스플레이 장비,6040,924,7.0,1.04,0.33
A103590,일진전기,전기 및 전자기기,케이블,6280,2329,12.66,0.7,1.59
A053050,지에스이,유틸리티,도시가스,6670,2000,40.0,2.29,0.6
